,my_id,pro_id,name,tags,dif,url
53,5563,1254C,Point Ordering,"constructive algorithms,geometry,interactive,math",2300,/problemset/problem/1254/C
54,5562,1254B2,Send Boxes to Alice (Hard Version),"constructive algorithms,greedy,math,number theory,ternary search,two pointers",2100,/problemset/problem/1254/B2
55,5561,1254B1,Send Boxes to Alice (Easy Version),"constructive algorithms,greedy,math,number theory,ternary search,two pointers",2000,/problemset/problem/1254/B1
56,5560,1254A,Feeding Chicken,"constructive algorithms,greedy,implementation",1900,/problemset/problem/1254/A
57,5559,1253F,Cheap Robot,"binary search,dsu,graphs,shortest paths,trees",2600,/problemset/problem/1253/F
58,5558,1253E,Antenna Coverage,"data structures,dp,greedy,sortings",2200,/problemset/problem/1253/E
59,5557,1253D,Harmonious Graph,"constructive algorithms,dfs and similar,dsu,graphs,greedy,sortings",1700,/problemset/problem/1253/D
60,5556,1253C,Sweets Eating,"dp,greedy,math,sortings",1500,/problemset/problem/1253/C
61,5555,1253B,Silly Mistake,"greedy,implementation",1400,/problemset/problem/1253/B
62,5554,1253A,Single Push,implementation,1000,/problemset/problem/1253/A
63,5553,1252L,Road Construction,"flows,graphs",2600,/problemset/problem/1252/L
64,5552,1252K,Addition Robot,"data structures,math,matrices",2200,/problemset/problem/1252/K
65,5551,1252J,Tiling Terrace,"brute force,dp",2600,/problemset/problem/1252/J
66,5550,1252I,Mission Possible,,3200,/problemset/problem/1252/I
67,5549,1252H,Twin Buildings,"greedy,implementation",1900,/problemset/problem/1252/H
68,5548,1252G,Performance Review,data structures,2300,/problemset/problem/1252/G
69,5547,1252F,Regular Forestation,"hashing,trees",2500,/problemset/problem/1252/F
70,5546,1252E,Songwriter,"greedy,two pointers",2300,/problemset/problem/1252/E
71,5545,1252D,Find String in a Grid,"data structures,dp,strings,trees",2900,/problemset/problem/1252/D
72,5544,1252C,Even Path,"data structures,implementation",1600,/problemset/problem/1252/C
73,5543,1252B,Cleaning Robots,"dp,trees",2600,/problemset/problem/1252/B
74,5542,1252A,Copying Homework,,1000,/problemset/problem/1252/A
75,5541,1251F,Red-White Fence,"combinatorics,fft",2600,/problemset/problem/1251/F
76,5540,1251E2,Voting (Hard Version),"binary search,data structures,greedy",2300,/problemset/problem/1251/E2
77,5539,1251E1,Voting (Easy Version),"data structures,dp,greedy",2200,/problemset/problem/1251/E1
78,5538,1251D,Salary Changing,"binary search,greedy,sortings",1800,/problemset/problem/1251/D
79,5537,1251C,Minimize The Integer,"greedy,two pointers",1500,/problemset/problem/1251/C
80,5536,1251B,Binary Palindromes,"greedy,strings",1400,/problemset/problem/1251/B
81,5535,1251A,Broken Keyboard,"brute force,strings,two pointers",1000,/problemset/problem/1251/A
82,5534,1250N,Wires,"dfs and similar,graphs,greedy",2200,/problemset/problem/1250/N
83,5533,1250M,SmartGarden,"constructive algorithms,divide and conquer",2700,/problemset/problem/1250/M
84,5532,1250L,Divide The Students,"binary search,greedy,math",1700,/problemset/problem/1250/L
85,5531,1250K,Projectors,"flows,graphs",3200,/problemset/problem/1250/K
86,5530,1250J,The Parade,"binary search,greedy",1900,/problemset/problem/1250/J
87,5529,1250I,Show Must Go On,"binary search,brute force,greedy,shortest paths",3100,/problemset/problem/1250/I
88,5528,1250H,Happy Birthday,math,1500,/problemset/problem/1250/H
89,5527,1250G,Discarding Game,"dp,greedy,two pointers",2400,/problemset/problem/1250/G
90,5526,1250F,Data Center,"brute force,implementation",1000,/problemset/problem/1250/F
91,5525,1250E,The Coronation,"graphs,implementation",2500,/problemset/problem/1250/E
92,5524,1250D,Conference Problem,dp,3100,/problemset/problem/1250/D
93,5523,1250C,Trip to Saint Petersburg,data structures,2300,/problemset/problem/1250/C
94,5522,1250B,The Feast and the Bus,"brute force,constructive algorithms,greedy,math",1900,/problemset/problem/1250/B
95,5521,1250A,Berstagram,implementation,1400,/problemset/problem/1250/A
96,5520,1249F,Maximum Weight Subset,"dp,trees",2500,/problemset/problem/1249/F
97,5519,1249E,By Elevator or Stairs?,"dp,shortest paths",1700,/problemset/problem/1249/E
98,5518,1249D2,Too Many Segments (hard version),"data structures,greedy,sortings",2000,/problemset/problem/1249/D2
99,5517,1249D1,Too Many Segments (easy version),greedy,1900,/problemset/problem/1249/D1
100,5516,1249C2,Good Numbers (hard version),"binary search,greedy,math,meet-in-the-middle",1500,/problemset/problem/1249/C2
101,5515,1249C1,Good Numbers (easy version),"brute force,greedy,implementation",1300,/problemset/problem/1249/C1
102,5514,1249B2,Books Exchange (hard version),"dfs and similar,dsu,math",1300,/problemset/problem/1249/B2
103,5513,1249B1,Books Exchange (easy version),"dsu,math",1000,/problemset/problem/1249/B1
104,5512,1249A,Yet Another Dividing into Teams,math,900,/problemset/problem/1249/A
105,5511,1248D1,The World Is Just a Programming Task (Easy Version),"brute force,dp,greedy,implementation",1900,/problemset/problem/1248/D1
106,5510,1248B,Grow The Tree,"greedy,math,sortings",900,/problemset/problem/1248/B
107,5509,1248A,Integer Points,"geometry,math",900,/problemset/problem/1248/A
108,5508,1246F,Cursor Distance,,3400,/problemset/problem/1246/F
109,5507,1245F,Daniel and Spring Cleaning,"bitmasks,brute force,combinatorics,dp",2300,/problemset/problem/1245/F
110,5506,1245E,Hyakugoku and Ladders,"dp,probabilities,shortest paths",2300,/problemset/problem/1245/E
111,5505,1245D,Shichikuji and Power Grid,"dsu,graphs,greedy,shortest paths,trees",1900,/problemset/problem/1245/D
112,5504,1245C,Constanze's Machine,dp,1400,/problemset/problem/1245/C
113,5503,1245B,Restricted RPS,"constructive algorithms,dp,greedy",1200,/problemset/problem/1245/B
114,5502,1245A,Good ol' Numbers Coloring,"math,number theory",1000,/problemset/problem/1245/A
115,5501,1244G,Running in Pairs,"constructive algorithms,greedy,math",2500,/problemset/problem/1244/G
116,5500,1244F,Chips,"constructive algorithms,implementation",2300,/problemset/problem/1244/F
117,5499,1244E,Minimizing Difference,"binary search,constructive algorithms,greedy,sortings,ternary search,two pointers",2000,/problemset/problem/1244/E
118,5498,1244D,Paint the Tree,"brute force,constructive algorithms,dp,graphs,implementation,trees",1700,/problemset/problem/1244/D
119,5497,1244C,The Football Season,"brute force,math,number theory",1900,/problemset/problem/1244/C
120,5496,1244B,Rooms and Staircases,"brute force,implementation",1000,/problemset/problem/1244/B
121,5495,1244A,Pens and Pencils,math,700,/problemset/problem/1244/A
122,5494,1243B2,Character Swap (Hard Version),strings,1600,/problemset/problem/1243/B2
123,5493,1243B1,Character Swap (Easy Version),strings,1100,/problemset/problem/1243/B1
124,5492,1243A,Maximum Square,implementation,800,/problemset/problem/1243/A
125,5491,1242E,Planar Perimeter,"constructive algorithms,graphs",3200,/problemset/problem/1242/E
126,5490,1242D,Number Discovery,math,3400,/problemset/problem/1242/D
127,5489,1242C,Sum Balance,"bitmasks,dfs and similar,dp,graphs",2400,/problemset/problem/1242/C
128,5488,1242B,0-1 MST,"dfs and similar,dsu,graphs,sortings",1900,/problemset/problem/1242/B
129,5487,1242A,Tile Painting,"constructive algorithms,math,number theory",1500,/problemset/problem/1242/A
130,5486,1240F,Football,graphs,3100,/problemset/problem/1240/F
131,5485,1239F,"Swiper, no swiping!","graphs,implementation",3400,/problemset/problem/1239/F
132,5484,1239E,Turtle,"dp,implementation",3100,/problemset/problem/1239/E
133,5483,1239D,Catowice City,"2-sat,dfs and similar,graph matchings,graphs",2400,/problemset/problem/1239/D
134,5482,1239C,Queue in the Train,"data structures,greedy,implementation",2300,/problemset/problem/1239/C
135,5481,1239B,The World Is Just a Programming Task (Hard Version),implementation,2500,/problemset/problem/1239/B
136,5480,1239A,Ivan the Fool and the Probability Theory,"combinatorics,dp,math",1700,/problemset/problem/1239/A
137,5479,1238G,Adilbek and the Watering System,"data structures,greedy,sortings",2700,/problemset/problem/1238/G
138,5478,1238F,The Maximum Subtree,"dfs and similar,dp,graphs,trees",2300,/problemset/problem/1238/F
139,5477,1238E,Keyboard Purchase,"bitmasks,dp",2200,/problemset/problem/1238/E
140,5476,1238D,AB-string,"binary search,combinatorics,dp,strings",1800,/problemset/problem/1238/D
141,5475,1238C,Standard Free2play,"dp,greedy,math",1600,/problemset/problem/1238/C
142,5474,1238B,Kill `Em All,"greedy,sortings",1300,/problemset/problem/1238/B
143,5473,1238A,Prime Subtraction,"math,number theory",900,/problemset/problem/1238/A
144,5472,1237H,Balanced Reversals,constructive algorithms,3200,/problemset/problem/1237/H
145,5471,1237G,Balanced Distribution,"data structures,dp,greedy",3600,/problemset/problem/1237/G
146,5470,1237F,Balanced Domino Placements,"combinatorics,dp",2600,/problemset/problem/1237/F
147,5469,1237E,Balanced Binary Search Trees,"dp,math",2400,/problemset/problem/1237/E
148,5468,1237D,Balanced Playlist,"binary search,data structures,implementation",1900,/problemset/problem/1237/D
149,5467,1237C2,Balanced Removals (Harder),"binary search,constructive algorithms,divide and conquer,greedy,implementation,sortings",1900,/problemset/problem/1237/C2
150,5466,1237C1,Balanced Removals (Easier),"constructive algorithms,geometry,greedy",1600,/problemset/problem/1237/C1
151,5465,1237B,Balanced Tunnel,"data structures,sortings,two pointers",1300,/problemset/problem/1237/B
152,5464,1237A,Balanced Rating Changes,"implementation,math",1100,/problemset/problem/1237/A
153,5463,1236F,Alice and the Cactus,"dfs and similar,graphs,math,probabilities",2900,/problemset/problem/1236/F
154,5462,1236E,Alice and the Unfair Game,"binary search,data structures,dp,dsu",2600,/problemset/problem/1236/E
155,5461,1236D,Alice and the Doll,"brute force,data structures,greedy,implementation",2100,/problemset/problem/1236/D
156,5460,1236C,Labs,"constructive algorithms,greedy,implementation",1300,/problemset/problem/1236/C
157,5459,1236B,Alice and the List of Presents,"combinatorics,math",1400,/problemset/problem/1236/B
158,5458,1236A,Stones,"brute force,greedy,math",800,/problemset/problem/1236/A
159,5457,1234F,Yet Another Substring Reverse,"bitmasks,dp",2400,/problemset/problem/1234/F
160,5456,1234E,Special Permutations,math,2000,/problemset/problem/1234/E
161,5455,1234D,Distinct Characters Queries,data structures,1600,/problemset/problem/1234/D
162,5454,1234C,Pipes,"dp,implementation",1400,/problemset/problem/1234/C
163,5453,1234B2,Social Network (hard version),"data structures,implementation",1200,/problemset/problem/1234/B2
164,5452,1234B1,Social Network (easy version),implementation,1000,/problemset/problem/1234/B1
165,5451,1234A,Equalize Prices Again,math,900,/problemset/problem/1234/A
166,5450,1231E,Middle-Out,"constructive algorithms,greedy,strings",2000,/problemset/problem/1231/E
167,5449,1231C,Increasing Matrix,greedy,1100,/problemset/problem/1231/C
168,5448,1230B,Ania and Minimizing,"greedy,implementation",1000,/problemset/problem/1230/B
169,5447,1230A,Dawid and Bags of Candies,"brute force,implementation",800,/problemset/problem/1230/A
170,5446,1228F,One Node is Gone,"constructive algorithms,implementation,trees",2700,/problemset/problem/1228/F
171,5445,1228E,Another Filling the Grid,"combinatorics,dp,math",2300,/problemset/problem/1228/E
172,5444,1228D,Complete Tripartite,"brute force,constructive algorithms,graphs,hashing,implementation",1800,/problemset/problem/1228/D
173,5443,1228C,Primes and Multiplication,"math,number theory",1600,/problemset/problem/1228/C
174,5442,1228B,Filling the Grid,"implementation,math",1300,/problemset/problem/1228/B
175,5441,1228A,Distinct Digits,"brute force,implementation",800,/problemset/problem/1228/A
176,5440,1227G,Not Same,constructive algorithms,2500,/problemset/problem/1227/G
177,5439,1227F2,Wrong Answer on test 233 (Hard Version),"combinatorics,math",2400,/problemset/problem/1227/F2
178,5438,1227F1,Wrong Answer on test 233 (Easy Version),dp,2100,/problemset/problem/1227/F1
179,5437,1227E,Arson In Berland Forest,"binary search,graphs,shortest paths",2200,/problemset/problem/1227/E
180,5436,1227D2,Optimal Subsequences (Hard Version),"data structures,greedy",1800,/problemset/problem/1227/D2
181,5435,1227D1,Optimal Subsequences (Easy Version),"data structures,greedy",1600,/problemset/problem/1227/D1
182,5434,1227C,Messy,constructive algorithms,1700,/problemset/problem/1227/C
183,5433,1227B,Box,constructive algorithms,1200,/problemset/problem/1227/B
184,5432,1227A,Math Problem,math,1100,/problemset/problem/1227/A
185,5431,1225G,To Make 1,"bitmasks,constructive algorithms,dp,greedy,number theory",3000,/problemset/problem/1225/G
186,5430,1225F,Tree Factory,"constructive algorithms,greedy,trees",2500,/problemset/problem/1225/F
187,5429,1225E,Rock Is Push,"binary search,dp",2200,/problemset/problem/1225/E
188,5428,1225D,Power Products,"hashing,math,number theory",1900,/problemset/problem/1225/D
189,5427,1225C,p-binary,"bitmasks,brute force,math",1600,/problemset/problem/1225/C
190,5426,1225B2,TV Subscriptions (Hard Version),"implementation,two pointers",1300,/problemset/problem/1225/B2
191,5425,1225B1,TV Subscriptions (Easy Version),implementation,1000,/problemset/problem/1225/B1
192,5424,1225A,Forgetting Things,math,900,/problemset/problem/1225/A
193,5423,1223G,Wooden Raft,"binary search,math,number theory",3100,/problemset/problem/1223/G
194,5422,1223F,Stack Exterminable Arrays,"data structures,divide and conquer,dp,hashing",2600,/problemset/problem/1223/F
195,5421,1223E,Paint the Tree,"dp,sortings,trees",2200,/problemset/problem/1223/E
196,5420,1223D,Sequence Sorting,"dp,greedy,two pointers",2000,/problemset/problem/1223/D
197,5419,1223C,Save the Nature,"binary search,greedy",1600,/problemset/problem/1223/C
198,5418,1223B,Strings Equalization,strings,1000,/problemset/problem/1223/B
199,5417,1223A,CME,math,600,/problemset/problem/1223/A
200,5416,1221G,Graph And Numbers,"bitmasks,brute force,combinatorics,dp,meet-in-the-middle",2900,/problemset/problem/1221/G
201,5415,1221F,Choose a Square,"binary search,data structures,sortings",2500,/problemset/problem/1221/F
202,5414,1221E,Game With String,games,2400,/problemset/problem/1221/E
203,5413,1221D,Make The Fence Great Again,dp,1700,/problemset/problem/1221/D
204,5412,1221C,Perfect Team,"binary search,math",1200,/problemset/problem/1221/C
205,5411,1221B,Knights,"constructive algorithms,greedy",1100,/problemset/problem/1221/B
206,5410,1221A,2048 Game,"brute force,greedy,math",1000,/problemset/problem/1221/A
207,5409,1220G,Geolocation,geometry,3200,/problemset/problem/1220/G
208,5408,1220F,Gardener Alex,"binary search,data structures",2600,/problemset/problem/1220/F
209,5407,1220E,Tourism,"dfs and similar,dp,dsu,graphs,greedy,trees",2200,/problemset/problem/1220/E
210,5406,1220D,Alex and Julian,"bitmasks,math,number theory",1900,/problemset/problem/1220/D
211,5405,1220C,Substring Game in the Lesson,"games,greedy,strings",1300,/problemset/problem/1220/C
212,5404,1220B,Multiplication Table,"math,number theory",1300,/problemset/problem/1220/B
213,5403,1220A,Cards,"implementation,sortings,strings",600,/problemset/problem/1220/A
214,5402,1219G,Harvester,implementation,2000,/problemset/problem/1219/G
215,5401,1219C,Periodic integer number,"implementation,strings",1700,/problemset/problem/1219/C
216,5400,1218I,The Light Square,"2-sat,dfs and similar,greedy",2200,/problemset/problem/1218/I
217,5399,1218H,Function Composition,dfs and similar,2700,/problemset/problem/1218/H
218,5398,1218G,Alpha planetary system,"constructive algorithms,graphs,shortest paths",3300,/problemset/problem/1218/G
219,5397,1218F,Workout plan,"data structures,greedy",1500,/problemset/problem/1218/F
220,5396,1218E,Product Tuples,"divide and conquer,fft",2500,/problemset/problem/1218/E
221,5395,1218D,Xor Spanning Tree,"divide and conquer,fft,graphs",2600,/problemset/problem/1218/D
222,5394,1218C,Jumping Transformers,dp,2800,/problemset/problem/1218/C
223,5393,1218B,Guarding warehouses,"data structures,geometry",2700,/problemset/problem/1218/B
224,5392,1218A,BubbleReactor,"dp,graphs",2800,/problemset/problem/1218/A
225,5391,1217F,Forced Online Queries Problem,"data structures,divide and conquer,dsu,graphs,trees",2800,/problemset/problem/1217/F
226,5390,1217E,Sum Queries?,"data structures,greedy,implementation,math",2300,/problemset/problem/1217/E
227,5389,1217D,Coloring Edges,"constructive algorithms,dfs and similar,graphs",2000,/problemset/problem/1217/D
228,5388,1217C,The Number Of Good Substrings,"binary search,bitmasks,brute force",1600,/problemset/problem/1217/C
229,5387,1217B,Zmei Gorynich,"greedy,math",1600,/problemset/problem/1217/B
230,5386,1217A,Creating a Character,"binary search,math",1300,/problemset/problem/1217/A
231,5385,1216F,Wi-Fi,"data structures,dp,greedy",2300,/problemset/problem/1216/F
232,5384,1216E2,Numerical Sequence (hard version),"binary search,math",2300,/problemset/problem/1216/E2
233,5383,1216E1,Numerical Sequence (easy version),"binary search,brute force,math",1900,/problemset/problem/1216/E1
234,5382,1216D,Swords,math,1300,/problemset/problem/1216/D
235,5381,1216C,White Sheet,"geometry,math",1500,/problemset/problem/1216/C
236,5380,1216B,Shooting,"greedy,implementation,sortings",1000,/problemset/problem/1216/B
237,5379,1216A,Prefixes,strings,900,/problemset/problem/1216/A
238,5378,1215F,Radio Stations,2-sat,2800,/problemset/problem/1215/F
239,5377,1215E,Marbles,"bitmasks,dp",2200,/problemset/problem/1215/E
240,5376,1215D,Ticket Game,"games,greedy,math",1700,/problemset/problem/1215/D
241,5375,1215C,Swap Letters,"constructive algorithms,greedy",1500,/problemset/problem/1215/C
242,5374,1215B,The Number of Products,"combinatorics,dp,implementation",1500,/problemset/problem/1215/B
243,5373,1215A,Yellow Cards,"greedy,implementation,math",1000,/problemset/problem/1215/A
244,5372,1214H,Tiles Placement,"constructive algorithms,dfs and similar,trees",2700,/problemset/problem/1214/H
245,5371,1214G,Feeling Good,"bitmasks,data structures",3100,/problemset/problem/1214/G
246,5370,1214F,Employment,"greedy,sortings",2700,/problemset/problem/1214/F
247,5369,1214E,Petya and Construction Set,"constructive algorithms,graphs,math,sortings,trees",2000,/problemset/problem/1214/E
248,5368,1214D,Treasure Island,"dfs and similar,dp,flows,hashing",1800,/problemset/problem/1214/D
249,5367,1214C,Bad Sequence,"data structures,greedy",1200,/problemset/problem/1214/C
250,5366,1214B,Badges,"brute force,math",1100,/problemset/problem/1214/B
251,5365,1214A,Optimal Currency Exchange,"brute force,math",1300,/problemset/problem/1214/A
252,5364,1213G,Path Queries,"divide and conquer,dsu,graphs,sortings,trees",2000,/problemset/problem/1213/G
253,5363,1213F,Unstable String Sort,"data structures,dfs and similar,dsu,graphs,greedy,implementation,strings",2400,/problemset/problem/1213/F
254,5362,1213E,Two Small Strings,"brute force,constructive algorithms",2000,/problemset/problem/1213/E
255,5361,1213D2,Equalizing by Division (hard version),"brute force,math,sortings",1600,/problemset/problem/1213/D2
256,5360,1213D1,Equalizing by Division (easy version),"brute force,implementation",1500,/problemset/problem/1213/D1
257,5359,1213C,Book Reading,math,1200,/problemset/problem/1213/C
258,5358,1213B,Bad Prices,"data structures,implementation",1100,/problemset/problem/1213/B
259,5357,1213A,Chips Moving,math,900,/problemset/problem/1213/A
260,5356,1211I,Unusual Graph,"*special problem,graphs",3000,/problemset/problem/1211/I
261,5355,1211H,Road Repair in Treeland,"*special problem,binary search,dp,trees",3000,/problemset/problem/1211/H
262,5354,1211G,King's Path,"*special problem,math,trees",2500,/problemset/problem/1211/G
263,5353,1211F,kotlinkotlinkotlinkotlin...,"*special problem,graphs,implementation,strings",2400,/problemset/problem/1211/F
264,5352,1211E,Double Permutation Inc.,"*special problem,binary search,greedy",2200,/problemset/problem/1211/E
265,5351,1211D,Teams,"*special problem,binary search,greedy,math",2200,/problemset/problem/1211/D
266,5350,1211C,Ice Cream,"*special problem,greedy,sortings",2000,/problemset/problem/1211/C
267,5349,1211B,Traveling Around the Golden Ring of Berland,"*special problem,implementation",1500,/problemset/problem/1211/B
268,5348,1211A,Three Problems,"*special problem,implementation",1300,/problemset/problem/1211/A
269,5347,1210G,Mateusz and Escape Room,dp,3400,/problemset/problem/1210/G
270,5346,1210F2,Marek and Matching (hard version),"brute force,probabilities",3100,/problemset/problem/1210/F2
271,5345,1210F1,Marek and Matching (easy version),"brute force,probabilities",2900,/problemset/problem/1210/F1
272,5344,1210E,Wojtek and Card Tricks,math,2700,/problemset/problem/1210/E
273,5343,1210D,Konrad and Company Evaluation,graphs,2300,/problemset/problem/1210/D
274,5342,1210C,Kamil and Making a Stream,"math,number theory,trees",2100,/problemset/problem/1210/C
275,5341,1210B,Marcin and Training Camp,"brute force,greedy",1800,/problemset/problem/1210/B
276,5340,1210A,Anadi and Domino,"brute force,graphs",1600,/problemset/problem/1210/A
277,5339,1209H,Moving Walkways,"data structures,greedy,math",3300,/problemset/problem/1209/H
278,5338,1209G2,Into Blocks (hard version),data structures,3200,/problemset/problem/1209/G2
279,5337,1209G1,Into Blocks (easy version),"data structures,dsu,greedy,implementation,two pointers",2000,/problemset/problem/1209/G1
280,5336,1209F,Koala and Notebook,"data structures,dfs and similar,graphs,shortest paths,strings,trees",2600,/problemset/problem/1209/F
281,5335,1209E2,Rotate Columns (hard version),"bitmasks,dp,greedy,sortings",2400,/problemset/problem/1209/E2
282,5334,1209E1,Rotate Columns (easy version),"bitmasks,brute force,dp,greedy,sortings",2000,/problemset/problem/1209/E1
283,5333,1209D,Cow and Snacks,"dfs and similar,dsu,graphs",1700,/problemset/problem/1209/D
284,5332,1209C,Paint the Digits,"constructive algorithms,greedy,implementation",1600,/problemset/problem/1209/C
285,5331,1209B,Koala and Lights,"implementation,math,number theory",1300,/problemset/problem/1209/B
286,5330,1209A,Paint the Numbers,"greedy,implementation,math",900,/problemset/problem/1209/A
287,5329,1208H,Red Blue Tree,"data structures,implementation,trees",3500,/problemset/problem/1208/H
288,5328,1208G,Polygons,"greedy,math,number theory",2700,/problemset/problem/1208/G
289,5327,1208F,Bits And Pieces,"bitmasks,dfs and similar,dp,greedy",2600,/problemset/problem/1208/F
290,5326,1208E,Let Them Slide,"data structures,implementation",2200,/problemset/problem/1208/E
291,5325,1208D,Restore Permutation,"binary search,data structures,greedy,implementation",1900,/problemset/problem/1208/D
292,5324,1208C,Magic Grid,constructive algorithms,1800,/problemset/problem/1208/C
293,5323,1208B,Uniqueness,"binary search,brute force,implementation,two pointers",1500,/problemset/problem/1208/B
294,5322,1208A,XORinacci,math,900,/problemset/problem/1208/A
295,5321,1207G,Indie Album,"data structures,dfs and similar,hashing,string suffix structures,strings,trees",2600,/problemset/problem/1207/G
296,5320,1207F,Remainder Problem,"brute force,data structures,implementation",2100,/problemset/problem/1207/F
297,5319,1207E,XOR Guessing,"bitmasks,interactive,math",1800,/problemset/problem/1207/E
298,5318,1207D,Number Of Permutations,combinatorics,1800,/problemset/problem/1207/D
299,5317,1207C,Gas Pipeline,"dp,greedy",1500,/problemset/problem/1207/C
300,5316,1207B,Square Filling,"constructive algorithms,greedy,implementation",1200,/problemset/problem/1207/B
301,5315,1207A,There Are Two Types Of Burgers,"brute force,greedy,implementation,math",700,/problemset/problem/1207/A
302,5314,1206B,Make Product Equal One,"dp,implementation",900,/problemset/problem/1206/B
303,5313,1206A,Choose Two Numbers,"math,sortings",800,/problemset/problem/1206/A
304,5312,1205F,Beauty of a Permutation,"constructive algorithms,math",3400,/problemset/problem/1205/F
305,5311,1205E,Expected Value Again,"combinatorics,strings",3100,/problemset/problem/1205/E
306,5310,1205D,Almost All,"constructive algorithms,trees",2800,/problemset/problem/1205/D
